"CountryCode","SeriesCode","DESCRIPTION",
"BDI","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BDI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BEL","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BEL","SP.DYN.CBRT.IN","Data source: Eurostat, National Institute of Statistics",
"BEL","SP.DYN.CDRT.IN","Data source: Eurostat, National Institute of Statistics",
"BEL","SP.DYN.LE00.FE.IN","Data source: Eurostat",
"BEL","SP.DYN.LE00.MA.IN","Data source: Eurostat",
"BEL","SP.DYN.TFRT.IN","Data source: Eurostat",
"BEL","SP.POP.TOTL","Data source: Eurostat",
"BEN","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens. Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BEN","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BEN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BFA","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BFA","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BFA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
